Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
Decision Tree,0.8956967797093189,0.8774566473988439,0.5343862644659457,0.8783625730994152,0.99734395750332,0.07142857142857142,0.9340796019900498,0.9710369795707267,0.21599238339532226,0.8348747865680137,0.9647959466465608,8,104,2,751,1,1,3509,865,417,3092,112,753
Random Forest,0.890567113137646,0.8716763005780347,0.5044642857142857,0.8715277777777778,1.0,0.008928571428571428,0.9313543599257885,0.9713622291021672,0.08821279961475555,0.8614233542022387,0.9772636515058464,1,111,0,753,1,1,3509,865,417,3092,112,753
XGBoost,0.9068110572812768,0.8751445086705202,0.5520596186681844,0.8825622775800712,0.9880478087649402,0.11607142857142858,0.9323308270676691,0.9649805447470817,0.22203035330264734,0.8572436444697402,0.9770107252514717,13,99,9,744,1,1,3509,865,417,3092,112,753
Multilayer Perceptron,0.8976916500427472,0.8774566473988439,0.5419868146461772,0.8801410105757932,0.9946879150066401,0.08928571428571429,0.9339152119700748,0.9694537923893347,0.223419268271536,0.8660892145702902,0.9784396719281316,10,102,4,749,1,1,3509,865,417,3092,112,753
SVM,0.8928469649472784,0.8774566473988439,0.5343862644659457,0.8783625730994152,0.99734395750332,0.07142857142857142,0.9340796019900498,0.9710369795707267,0.21599238339532226,0.7920520299753367,0.9659904240023087,8,104,2,751,1,1,3509,865,417,3092,112,753
Decision Tree,0.8881789137380192,0.8474758324382384,0.5,0.8474758324382384,1.0,0.0,0.9174418604651163,0.9652556887692684,0.0,0.8655634695371213,0.9663136239104115,0,142,0,789,1,2,3443,931,387,3056,142,789
Random Forest,0.8875980249782167,0.8474758324382384,0.5,0.8474758324382384,1.0,0.0,0.9174418604651163,0.9652556887692684,0.0,0.8817767186133276,0.9776701852835125,0,142,0,789,1,2,3443,931,387,3056,142,789
XGBoost,0.9085100203311066,0.8614393125671321,0.5833110194755351,0.8699551569506726,0.9835234474017744,0.18309859154929578,0.9232599643069601,0.958498023715415,0.2990201036665639,0.8645816597939984,0.9740528295889896,26,116,13,776,1,2,3443,931,387,3056,142,789
Multilayer Perceptron,0.9047342433923904,0.8646616541353384,0.5794373337617593,0.8687430478309233,0.9898605830164765,0.16901408450704225,0.9253554502369669,0.9630086313193588,0.31353244809210196,0.8683036112747461,0.975213761517851,24,118,8,781,1,2,3443,931,387,3056,142,789
SVM,0.8957304676154516,0.8678839957035446,0.58133847444617,0.8691796008869179,0.9936628643852978,0.16901408450704225,0.9272619751626257,0.9659931000492854,0.3366715546385253,0.7510309002302791,0.9493823467671478,24,118,5,784,1,2,3443,931,387,3056,142,789
Decision Tree,0.8847139197267293,0.9210220673635308,0.5593314321926489,0.9256198347107438,0.9936628643852978,0.125,0.9584352078239609,0.9792655508368724,0.25972505942881624,0.8716642022250389,0.9829886580504623,9,63,5,784,1,3,3513,861,457,3056,72,789
Random Forest,0.8730429832052377,0.9186991869918699,0.5201996197718631,0.9194865810968494,0.9987325728770595,0.041666666666666664,0.9574726609963548,0.9818091203588338,0.16445895767954363,0.8789079002957328,0.9876826732159528,3,69,1,788,1,3,3513,861,457,3056,72,789
XGBoost,0.8995160831198405,0.8989547038327527,0.5472908745247148,0.9239130434782609,0.9695817490494296,0.125,0.9461966604823747,0.9600903614457831,0.13637662937744238,0.844722574285312,0.9841325575395135,9,63,24,765,1,3,3513,861,457,3056,72,789
Multilayer Perceptron,0.892399658411614,0.9128919860627178,0.5548954372623573,0.925,0.9847908745247148,0.125,0.9539594843462247,0.9722222222222222,0.19702516679300106,0.8634171243486832,0.986265818459539,9,63,12,777,1,3,3513,861,457,3056,72,789
SVM,0.8830059777967549,0.9175377468060395,0.5574302915082383,0.9253554502369669,0.9898605830164765,0.125,0.9565217391304348,0.97625,0.2285493982602338,0.7594000844951416,0.9743583575307619,9,63,8,781,1,3,3513,861,457,3056,72,789
Decision Tree,0.8850541928123218,0.8870967741935484,0.5543871100313063,0.8865497076023392,0.9986824769433466,0.11009174311926606,0.9392812887236679,0.9740426625546132,0.2967600129634342,0.8324146934039236,0.9683953820812546,12,97,1,758,1,4,3506,868,420,3086,109,759
Random Forest,0.8864803194523674,0.8767281105990783,0.5091743119266054,0.8764434180138568,1.0,0.01834862385321101,0.9341538461538461,0.9725781650435674,0.12681297491092478,0.8827585790090776,0.9824576784576247,2,107,0,759,1,4,3506,868,420,3086,109,759
XGBoost,0.9018824871648602,0.8778801843317973,0.5766157788495244,0.8919567827130852,0.9789196310935442,0.1743119266055046,0.9334170854271356,0.96019643318687,0.25812248085814665,0.8566075594396297,0.9781791805867035,19,90,16,743,1,4,3506,868,420,3086,109,759
Multilayer Perceptron,0.8933257273245864,0.8744239631336406,0.5667827053945921,0.8896882494004796,0.9776021080368906,0.1559633027522936,0.9315756434400502,0.958656330749354,0.22814221685363964,0.8674438843964174,0.9796973953997494,17,92,17,742,1,4,3506,868,420,3086,109,759
SVM,0.8899030233884769,0.8894009216589862,0.5674898163928878,0.8895417156286721,0.997364953886693,0.13761467889908258,0.9403726708074535,0.9737586827887831,0.3227848468017983,0.7914747797077273,0.967980499685734,15,94,2,757,1,4,3506,868,420,3086,109,759
Decision Tree,0.8899290780141844,0.901060070671378,0.5718190784838664,0.9037304452466908,0.9947019867549669,0.14893617021276595,0.9470365699873896,0.9750714100233705,0.31287471152777635,0.8550584754121459,0.9698667352552046,14,80,4,751,1,5,3525,849,435,3090,94,755
Random Forest,0.8780141843971632,0.889281507656066,0.5,0.889281507656066,1.0,0.0,0.9413965087281796,0.9757043163608168,0.0,0.8882978723404256,0.9845103813856431,0,94,0,755,1,5,3525,849,435,3090,94,755
XGBoost,0.8995744680851064,0.901060070671378,0.6137311540087361,0.9126691266912669,0.9827814569536424,0.24468085106382978,0.9464285714285714,0.967910253065484,0.3542014387737564,0.8859306749330703,0.9842873091005394,23,71,13,742,1,5,3525,849,435,3090,94,755
Multilayer Perceptron,0.8913475177304965,0.8987043580683156,0.5658376778920671,0.9025270758122743,0.9933774834437086,0.13829787234042554,0.9457755359394704,0.9737730459620878,0.286817164923197,0.8873960828519093,0.9843860222242292,13,81,5,750,1,5,3525,849,435,3090,94,755
SVM,0.8876595744680851,0.8987043580683156,0.5751514724531492,0.9044740024183797,0.990728476821192,0.1595744680851064,0.9456384323640961,0.9721861190538081,0.29685255913719405,0.7285120473439481,0.9609328019034891,15,79,7,748,1,5,3525,849,435,3090,94,755
Decision Tree,0.893843498273878,0.8853006681514477,0.5778688960507142,0.8838268792710706,0.9987129987129987,0.15702479338842976,0.9377643504531722,0.9734069242348219,0.3603586507529698,0.8565365838093112,0.9631438299517515,19,102,1,776,2,1,3476,898,408,3068,121,777
Random Forest,0.883199079401611,0.8652561247216035,0.5,0.8652561247216035,1.0,0.0,0.9277611940298508,0.9697953070394408,0.0,0.897428124700852,0.9826990798242434,0,121,0,777,2,1,3476,898,408,3068,121,777
XGBoost,0.905638665132336,0.8808463251670379,0.5962272780454598,0.888631090487239,0.9858429858429858,0.2066115702479339,0.9347162904209884,0.964735516372796,0.33498588513958716,0.8666145484327302,0.9776014308283592,25,96,11,766,2,1,3476,898,408,3068,121,777
Multilayer Perceptron,0.8990218642117376,0.8864142538975501,0.5959560505015051,0.8883774453394706,0.9935649935649936,0.19834710743801653,0.9380315917375456,0.9705808398290169,0.37067787733071356,0.887323569141751,0.9812023256613664,24,97,5,772,2,1,3476,898,408,3068,121,777
SVM,0.8915420023014959,0.8830734966592427,0.5765818947637129,0.8835616438356164,0.9961389961389961,0.15702479338842976,0.9364791288566243,0.9713855421686747,0.3382952532208372,0.841459523277705,0.9726398930186976,19,102,3,774,2,1,3476,898,408,3068,121,777
Decision Tree,0.8790803292648312,0.881316098707403,0.5049019607843137,0.8811764705882353,1.0,0.00980392156862745,0.9368355222013759,0.9737389495579823,0.09294614034895161,0.8436542841435639,0.9709782677089817,1,101,0,749,2,2,3523,851,427,3096,102,749
Random Forest,0.8856088560885609,0.8801410105757932,0.5042344040419906,0.8810365135453475,0.9986648865153538,0.00980392156862745,0.9361702127659575,0.9726918075422627,0.05680603054434337,0.8795910887719575,0.9827275201521497,1,101,1,748,2,2,3523,851,427,3096,102,749
XGBoost,0.9020720976440534,0.8789659224441834,0.5882549281394801,0.8997524752475248,0.9706275033377837,0.20588235294117646,0.9338471419396275,0.9555730809674028,0.26173996974823877,0.8672085656692583,0.9806584916763319,21,81,22,727,2,2,3523,851,427,3096,102,749
Multilayer Perceptron,0.8890150439965938,0.881316098707403,0.5218395769522762,0.8847980997624703,0.9946595460614153,0.049019607843137254,0.9365179132620993,0.9705575820739969,0.13868768901048248,0.870513626011152,0.981305812665401,5,97,4,745,2,2,3523,851,427,3096,102,749
SVM,0.8892988929889298,0.8918918918918919,0.574426032095081,0.8962605548854041,0.9919893190921228,0.1568627450980392,0.9416983523447402,0.9712418300653595,0.30465425672474133,0.7549019607843137,0.9624279044860957,16,86,6,743,2,2,3523,851,427,3096,102,749
Decision Tree,0.878969957081545,0.8816837315130831,0.5,0.8816837315130831,1.0,0.0,0.9371221281741233,0.9738627795928625,0.0,0.8572952853598016,0.9711153116776052,0,104,0,775,2,3,3495,879,425,3070,104,775
Random Forest,0.878969957081545,0.8828213879408419,0.5048076923076923,0.8826879271070615,1.0,0.009615384615384616,0.9376890502117362,0.9741075917546506,0.09212699883579718,0.8899441687344914,0.98392982084151,1,103,0,775,2,3,3495,879,425,3070,104,775
XGBoost,0.9012875536480687,0.8998862343572241,0.606060794044665,0.9045936395759717,0.9909677419354839,0.22115384615384615,0.9458128078817734,0.9723980754621423,0.3773444079107553,0.8823200992555832,0.9828880765072427,23,81,7,768,2,3,3495,879,425,3070,104,775
Multilayer Perceptron,0.8958512160228899,0.8964732650739476,0.5999627791563276,0.9033018867924528,0.9883870967741936,0.21153846153846154,0.9439309919901417,0.9701114488348531,0.35007174981080835,0.8858064516129033,0.9834084957039725,22,82,9,766,2,3,3495,879,425,3070,104,775
SVM,0.8878397711015736,0.8976109215017065,0.5797952853598015,0.8987194412107101,0.9961290322580645,0.16346153846153846,0.944920440636475,0.974993685274059,0.34567117746737214,0.760545905707196,0.9640407263539282,17,87,3,772,2,3,3495,879,425,3070,104,775
Decision Tree,0.887460725506998,0.8774341351660939,0.5337431950441149,0.8793503480278422,0.9960578186596584,0.07142857142857142,0.9340727048675292,0.9703020993343574,0.2023333919457088,0.8579993429697766,0.9711863264659977,8,104,3,758,2,4,3501,873,417,3084,112,761
