Threshold,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,False Positive Rate,F1,F2,MCC,TN,FP,FN,TP,Model,Threshold Selection,Repeat,Fold,Selected Threshold,Test Size,Test Legitimate,Test Phishing
0.5,0.8781838316722038,0.6004872857622942,0.8981264637002342,0.970886075949367,0.23008849557522124,0.7699115044247787,0.9330900243309003,0.9554060787244644,0.2935397388029894,26,87,23,767,XGBoost — Full 16 Features,Default threshold,1,1,0.79,903,113,790
0.79,0.7596899224806202,0.7526940741570516,0.9540412044374009,0.7620253164556962,0.7433628318584071,0.25663716814159293,0.8472906403940886,0.7939857557372725,0.36448418497530094,84,29,188,602,XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.79,903,113,790
0.5,0.8726467331118494,0.49873417721518987,0.8745837957824639,0.9974683544303797,0.0,1.0,0.9319929036073329,0.9702043831568579,-0.01781879282571954,0,113,2,788,XGBoost — URL-Only Features,Default threshold,1,1,0.89,903,113,790
0.89,0.6755260243632336,0.8107650946566596,0.9979959919839679,0.6303797468354431,0.9911504424778761,0.008849557522123894,0.7726920093095423,0.6805138015851325,0.41359381950890417,112,1,292,498,XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.89,903,113,790
0.5,0.8982857142857142,0.5984105180533752,0.9151732377538829,0.9770408163265306,0.21978021978021978,0.7802197802197802,0.9450956199876619,0.964007047571105,0.29477843843926427,20,71,18,766,XGBoost — Full 16 Features,Default threshold,1,2,0.81,875,91,784
0.81,0.8182857142857143,0.796605180533752,0.9685157421289355,0.8239795918367347,0.7692307692307693,0.23076923076923078,0.8904203997243281,0.8493294767288982,0.4253954798804243,70,21,138,646,XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.81,875,91,784
0.5,0.8925714285714286,0.5029434850863422,0.896551724137931,0.9948979591836735,0.01098901098901099,0.989010989010989,0.9431680773881499,0.9735396904643036,0.02384108051496949,1,90,4,780,XGBoost — URL-Only Features,Default threshold,1,2,0.89,875,91,784
0.89,0.6902857142857143,0.8077413657770801,0.9923224568138196,0.6594387755102041,0.9560439560439561,0.04395604395604396,0.7923371647509578,0.7068635493573968,0.382801920006428,87,4,267,517,XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.89,875,91,784
0.5,0.8815489749430524,0.5807983942908117,0.8849765258215962,0.9921052631578947,0.1694915254237288,0.8305084745762712,0.9354838709677419,0.9686536485097637,0.32514273472912314,20,98,6,754,XGBoost — Full 16 Features,Default threshold,1,3,0.89,878,118,760
0.89,0.7494305239179955,0.7836752899197146,0.9655172413793104,0.7368421052631579,0.8305084745762712,0.1694915254237288,0.835820895522388,0.7734806629834254,0.4086741556631659,98,20,200,560,XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.89,878,118,760
0.5,0.8644646924829157,0.4993421052631579,0.8654503990877993,0.9986842105263158,0.0,1.0,0.9273060476481368,0.9688537145774828,-0.013305598391980917,0,118,1,759,XGBoost — URL-Only Features,Default threshold,1,3,0.9,878,118,760
0.9,0.693621867881549,0.8087087421944692,0.9919839679358717,0.6513157894736842,0.9661016949152542,0.03389830508474576,0.7863383637807784,0.6993500988979938,0.42516435401943403,114,4,265,495,XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.9,878,118,760
0.5,0.8782201405152225,0.5542639000061572,0.8847539015606243,0.9892617449664429,0.11926605504587157,0.8807339449541285,0.9340937896070975,0.966430632048256,0.23383000379436206,13,96,8,737,XGBoost — Full 16 Features,Default threshold,1,4,0.24,854,109,745
0.24,0.8793911007025761,0.5392709808509328,0.8812351543942993,0.9959731543624161,0.08256880733944955,0.9174311926605505,0.9350976685570258,0.9706959706959707,0.2226621820635653,9,100,3,742,XGBoost — Full 16 Features,Validation-selected threshold,1,4,0.24,854,109,745
0.5,0.8711943793911007,0.4993288590604027,0.8722157092614302,0.9986577181208054,0.0,1.0,0.9311639549436797,0.9705191755804853,-0.01309666132661758,0,109,1,744,XGBoost — URL-Only Features,Default threshold,1,4,0.89,854,109,745
0.89,0.6885245901639344,0.8018964349485869,0.9897750511247444,0.6496644295302013,0.9541284403669725,0.045871559633027525,0.7844408427876823,0.6976073796483137,0.40726632689031844,104,5,261,484,XGBoost — URL-Only Features,Validation-selected threshold,1,4,0.89,854,109,745
0.5,0.8912037037037037,0.5649011562849683,0.9,0.9869451697127938,0.14285714285714285,0.8571428571428571,0.9414694894146949,0.9682377049180327,0.250475117344623,14,84,10,756,XGBoost — Full 16 Features,Default threshold,1,5,0.85,864,98,766
0.85,0.7708333333333334,0.7372782010976715,0.9522292993630573,0.7806788511749347,0.6938775510204082,0.30612244897959184,0.8579626972740315,0.8098591549295775,0.33773761803868785,68,30,168,598,XGBoost — Full 16 Features,Validation-selected threshold,1,5,0.85,864,98,766
0.5,0.8854166666666666,0.4993472584856397,0.8864426419466975,0.9986945169712794,0.0,1.0,0.9392265193370166,0.974025974025974,-0.012175680832090576,0,98,1,765,XGBoost — URL-Only Features,Default threshold,1,5,0.84,864,98,766
