Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Feature Subset,Number of Features,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
0.8994082840236687,0.5104489164086687,0.901307966706302,0.9973684210526316,0.023529411764705882,0.9469081823860087,0.9765524349394485,0.09157765446053927,0.8695356037151702,0.9826371323932039,2,83,2,758,Address-Bar Features Only,8,1,1,3529,845,444,3085,85,760
0.8994082840236687,0.5,0.8994082840236687,1.0,0.0,0.9470404984423676,0.9781209781209781,0.0,0.61671826625387,0.921334045359063,0,85,0,760,Domain Features Only,4,1,1,3529,845,444,3085,85,760
0.8994082840236687,0.5574690402476781,0.9100850546780073,0.9855263157894737,0.12941176470588237,0.9463044851547694,0.9694537923893347,0.21710455781609764,0.5671284829721362,0.9113478681593724,11,74,11,749,HTML/JavaScript Features Only,4,1,1,3529,845,444,3085,85,760
0.8994082840236687,0.5104489164086687,0.901307966706302,0.9973684210526316,0.023529411764705882,0.9469081823860087,0.9765524349394485,0.09157765446053927,0.8695356037151702,0.9826371323932039,2,83,2,758,URL-Only Features,8,1,1,3529,845,444,3085,85,760
0.9076923076923077,0.5620743034055727,0.9108433734939759,0.9947368421052631,0.12941176470588237,0.9509433962264151,0.9767441860465116,0.2827961115234829,0.8965866873065017,0.9874774572152932,11,74,4,756,Full 16-Feature Set,16,1,1,3529,845,444,3085,85,760
0.8574686431014823,0.49801324503311256,0.8604118993135011,0.9960264900662251,0.0,0.9232658072437078,0.965588084232152,-0.023551108354269976,0.8418684181956357,0.9710044849371677,0,122,3,752,Address-Bar Features Only,8,1,2,3497,877,407,3090,122,755
0.8608893956670467,0.5,0.8608893956670467,1.0,0.0,0.9252450980392157,0.9686938670772389,0.0,0.6307458473564217,0.9051586274852818,0,122,0,755,Domain Features Only,4,1,2,3497,877,407,3090,122,755
0.8608893956670467,0.5584138530018457,0.8754448398576512,0.9774834437086093,0.13934426229508196,0.9236545682102628,0.9552161532487704,0.20943342467593995,0.5769514710672022,0.879645725651047,17,105,17,738,HTML/JavaScript Features Only,4,1,2,3497,877,407,3090,122,755
0.8574686431014823,0.49801324503311256,0.8604118993135011,0.9960264900662251,0.0,0.9232658072437078,0.965588084232152,-0.023551108354269976,0.8418684181956357,0.9710044849371677,0,122,3,752,URL-Only Features,8,1,2,3497,877,407,3090,122,755
0.8745724059293044,0.5869775268700467,0.8825622775800712,0.9854304635761589,0.1885245901639344,0.9311639549436797,0.9629821382345327,0.3118438587103974,0.8802518727608295,0.9793044686753061,23,99,11,744,Full 16-Feature Set,16,1,2,3497,877,407,3090,122,755
0.8730684326710817,0.4981108312342569,0.875968992248062,0.9962216624685138,0.0,0.9322333529758398,0.9696003922530032,-0.02164788700213479,0.8254149424253329,0.9715193214214669,0,112,3,791,Address-Bar Features Only,8,1,3,3468,906,417,3051,112,794
0.8763796909492274,0.5,0.8763796909492274,1.0,0.0,0.9341176470588235,0.972562469377756,0.0,0.6470515473191797,0.9128353101516977,0,112,0,794,Domain Features Only,4,1,3,3468,906,417,3051,112,794
0.8818984547461368,0.5645016192875135,0.8907849829351536,0.9861460957178841,0.14285714285714285,0.9360430364614465,0.9654747225647349,0.24971438224023854,0.5758816120906801,0.8930328011615046,16,96,11,783,HTML/JavaScript Features Only,4,1,3,3468,906,417,3051,112,794
0.8730684326710817,0.4981108312342569,0.875968992248062,0.9962216624685138,0.0,0.9322333529758398,0.9696003922530032,-0.02164788700213479,0.8254149424253329,0.9715193214214669,0,112,3,791,URL-Only Features,8,1,3,3468,906,417,3051,112,794
0.8730684326710817,0.6131477150053977,0.9027283511269276,0.9584382871536524,0.26785714285714285,0.9297495418448382,0.946752923612839,0.29282690956771407,0.8656328715365241,0.9794607243254527,30,82,33,761,Full 16-Feature Set,16,1,3,3468,906,417,3051,112,794
0.8789954337899544,0.5,0.8789954337899544,1.0,0.0,0.9356014580801945,0.9732052578361982,0.0,0.8402597402597402,0.974615684855762,0,106,0,770,Address-Bar Features Only,8,1,4,3498,876,423,3075,106,770
0.8789954337899544,0.5,0.8789954337899544,1.0,0.0,0.9356014580801945,0.9732052578361982,0.0,0.5856223964714531,0.9053420518477372,0,106,0,770,Domain Features Only,4,1,4,3498,876,423,3075,106,770
0.8801369863013698,0.5494609164420485,0.8898007033997656,0.9857142857142858,0.11320754716981132,0.9353049907578558,0.9649122807017544,0.20176787322993278,0.5934452340112718,0.9009464846069363,12,94,11,759,HTML/JavaScript Features Only,4,1,4,3498,876,423,3075,106,770
0.8789954337899544,0.5,0.8789954337899544,1.0,0.0,0.9356014580801945,0.9732052578361982,0.0,0.8402597402597402,0.974615684855762,0,106,0,770,URL-Only Features,8,1,4,3498,876,423,3075,106,770
0.8858447488584474,0.5730458221024259,0.8950471698113207,0.9857142857142858,0.16037735849056603,0.9381953028430161,0.9661405295315683,0.2708611576823349,0.8528424405782896,0.9780059016996443,17,89,11,759,Full 16-Feature Set,16,1,4,3498,876,423,3075,106,770
0.8804597701149425,0.508309901586664,0.8822170900692841,0.9973890339425587,0.019230769230769232,0.9362745098039216,0.9720101781170484,0.0797017741736887,0.8360802872062664,0.9740907729833997,2,102,2,764,Address-Bar Features Only,8,1,5,3504,870,425,3079,104,766
0.8804597701149425,0.5,0.8804597701149425,1.0,0.0,0.9364303178484108,0.9735638027452974,0.0,0.587737246435027,0.9063584345897039,0,104,0,766,Domain Features Only,4,1,5,3504,870,425,3079,104,766
0.8816091954022989,0.5588220526210083,0.8932384341637011,0.9830287206266318,0.1346153846153846,0.9359850839030454,0.9636549782441771,0.2200926583861421,0.5907938341032336,0.8995688240260024,14,90,13,753,HTML/JavaScript Features Only,4,1,5,3504,870,425,3079,104,766
0.8804597701149425,0.508309901586664,0.8822170900692841,0.9973890339425587,0.019230769230769232,0.9362745098039216,0.9720101781170484,0.0797017741736887,0.8360802872062664,0.9740907729833997,2,102,2,764,URL-Only Features,8,1,5,3504,870,425,3079,104,766
0.8827586206896552,0.5760945973086965,0.8971291866028708,0.97911227154047,0.17307692307692307,0.9363295880149812,0.9615384615384616,0.25478407299322264,0.8678826069491865,0.9806863909009993,18,86,16,750,Full 16-Feature Set,16,1,5,3504,870,425,3079,104,766
0.8790697674418605,0.5,0.8790697674418605,1.0,0.0,0.9356435643564357,0.9732234809474768,0.0,0.8498168498168499,0.9762267496247556,0,104,0,756,Address-Bar Features Only,8,2,1,3514,860,425,3089,104,756
0.8790697674418605,0.5,0.8790697674418605,1.0,0.0,0.9356435643564357,0.9732234809474768,0.0,0.6062143874643875,0.9127835596922614,0,104,0,756,Domain Features Only,4,2,1,3514,860,425,3089,104,756
0.8755813953488372,0.5353327228327228,0.8867699642431466,0.9841269841269841,0.08653846153846154,0.9329153605015674,0.9629821382345327,0.14927739299707884,0.5520515364265365,0.8897737358359781,9,95,12,744,HTML/JavaScript Features Only,4,2,1,3514,860,425,3089,104,756
0.8790697674418605,0.5,0.8790697674418605,1.0,0.0,0.9356435643564357,0.9732234809474768,0.0,0.8498168498168499,0.9762267496247556,0,104,0,756,URL-Only Features,8,2,1,3514,860,425,3089,104,756
0.8883720930232558,0.5633394383394383,0.8928571428571429,0.9920634920634921,0.1346153846153846,0.9398496240601504,0.9704968944099379,0.27404831123032153,0.8806344118844118,0.9821641427184555,14,90,6,750,Full 16-Feature Set,16,2,1,3514,860,425,3089,104,756
0.8966292134831461,0.5053763440860215,0.8965129358830146,1.0,0.010752688172043012,0.9454329774614472,0.9774343880304145,0.09818311485053245,0.8314512756168967,0.9766621769299745,1,92,0,797,Address-Bar Features Only,8,2,2,3484,890,436,3048,93,797
0.895505617977528,0.5,0.895505617977528,1.0,0.0,0.944872554831061,0.9771947032859245,0.0,0.5642260627892229,0.9108895817843687,0,93,0,797,Domain Features Only,4,2,2,3484,890,436,3048,93,797
0.8977528089887641,0.5819875608801824,0.9114219114219114,0.9811794228356336,0.1827956989247312,0.9450151057401812,0.9663865546218487,0.26942008198221107,0.5703646739790343,0.9076286362383819,17,76,15,782,HTML/JavaScript Features Only,4,2,2,3484,890,436,3048,93,797
0.8966292134831461,0.5053763440860215,0.8965129358830146,1.0,0.010752688172043012,0.9454329774614472,0.9774343880304145,0.09818311485053245,0.8314512756168967,0.9766621769299745,1,92,0,797,URL-Only Features,8,2,2,3484,890,436,3048,93,797
0.8842696629213483,0.6504431942364512,0.9262899262899262,0.946047678795483,0.3548387096774194,0.936064556176288,0.9420289855072463,0.3293473534543439,0.8457319787914356,0.9796140903730322,33,60,43,754,Full 16-Feature Set,16,2,2,3484,890,436,3048,93,797
0.8513966480446927,0.5,0.8513966480446927,1.0,0.0,0.9197344598672299,0.9662693380674613,0.0,0.8301708996901703,0.9667178233491941,0,133,0,762,Address-Bar Features Only,8,2,3,3479,895,396,3083,133,762
0.8513966480446927,0.5,0.8513966480446927,1.0,0.0,0.9197344598672299,0.9662693380674613,0.0,0.5980897124701517,0.8820051215566385,0,133,0,762,Domain Features Only,4,2,3,3479,895,396,3083,133,762
0.8592178770949721,0.5759674777494919,0.8714953271028038,0.979002624671916,0.17293233082706766,0.9221260815822002,0.9554303278688525,0.2647230898608133,0.5963728218183254,0.875976579865376,23,110,16,746,HTML/JavaScript Features Only,4,2,3,3479,895,396,3083,133,762
0.8513966480446927,0.5,0.8513966480446927,1.0,0.0,0.9197344598672299,0.9662693380674613,0.0,0.8301708996901703,0.9667178233491941,0,133,0,762,URL-Only Features,8,2,3,3479,895,396,3083,133,762
