Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — Full 16 Features,Default threshold,1,1,0.5,0.970886075949367,0.23008849557522124,0.7699115044247787,485443.0379746835,384955.7522123894,14556.962025316478,115044.24778761061,870398.7901870729,0.5577248537654197
XGBoost — Full 16 Features,Default threshold,1,1,0.1,0.970886075949367,0.23008849557522124,0.7699115044247787,97088.60759493671,692920.3539823008,2911.3924050632954,207079.64601769912,790008.9615772376,0.12289557754016003
XGBoost — Full 16 Features,Default threshold,1,1,0.05,0.970886075949367,0.23008849557522124,0.7699115044247787,48544.303797468354,731415.9292035399,1455.6962025316477,218584.07079646018,779960.2330010082,0.06223946009489128
XGBoost — Full 16 Features,Default threshold,1,1,0.01,0.970886075949367,0.23008849557522124,0.7699115044247787,9708.860759493671,762212.3893805309,291.13924050632954,227787.61061946902,771921.2501400246,0.01257752751039372
XGBoost — Full 16 Features,Default threshold,1,1,0.005,0.970886075949367,0.23008849557522124,0.7699115044247787,4854.430379746836,766061.9469026548,145.56962025316477,228938.05309734514,770916.3772824017,0.0062969610230093264
XGBoost — Full 16 Features,Default threshold,1,1,0.001,0.970886075949367,0.23008849557522124,0.7699115044247787,970.8860759493671,769141.592920354,29.113924050632956,229858.40707964601,770112.4789963034,0.0012607068479330893
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.5,0.7620253164556962,0.7433628318584071,0.2566371681415929,381012.65822784806,128318.58407079644,118987.34177215192,371681.41592920356,509331.2422986445,0.7480645728864256
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.1,0.7620253164556962,0.7433628318584071,0.2566371681415929,76202.53164556962,230973.45132743358,23797.468354430384,669026.5486725664,307175.9829730032,0.24807451060477875
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.05,0.7620253164556962,0.7433628318584071,0.2566371681415929,38101.26582278481,243805.30973451323,11898.734177215192,706194.6902654867,281906.575557298,0.13515564774416075
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.01,0.7620253164556962,0.7433628318584071,0.2566371681415929,7620.253164556962,254070.79646017693,2379.7468354430384,735929.2035398231,261691.0496247339,0.02911927318677669
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.005,0.7620253164556962,0.7433628318584071,0.2566371681415929,3810.126582278481,255353.9823008849,1189.8734177215192,739646.0176991151,259164.1088831634,0.01470159814450297
XGBoost — Full 16 Features,Validation-selected threshold,1,1,0.001,0.7620253164556962,0.7433628318584071,0.2566371681415929,762.0253164556962,256380.53097345127,237.97468354430384,742619.4690265487,257142.55628990696,0.0029634352533875244
XGBoost — URL-Only Features,Default threshold,1,1,0.5,0.9974683544303797,0.0,1.0,498734.17721518985,500000.0,1265.8227848101333,0.0,998734.1772151899,0.49936628643852976
XGBoost — URL-Only Features,Default threshold,1,1,0.1,0.9974683544303797,0.0,1.0,99746.83544303797,900000.0,253.16455696202667,0.0,999746.835443038,0.09977209420106355
XGBoost — URL-Only Features,Default threshold,1,1,0.05,0.9974683544303797,0.0,1.0,49873.417721518985,950000.0,126.58227848101333,0.0,999873.417721519,0.0498797316115964
XGBoost — URL-Only Features,Default threshold,1,1,0.01,0.9974683544303797,0.0,1.0,9974.683544303798,990000.0,25.316455696202667,0.0,999974.6835443038,0.009974936074330996
XGBoost — URL-Only Features,Default threshold,1,1,0.005,0.9974683544303797,0.0,1.0,4987.341772151899,995000.0,12.658227848101333,0.0,999987.3417721519,0.004987404903859543
XGBoost — URL-Only Features,Default threshold,1,1,0.001,0.9974683544303797,0.0,1.0,997.4683544303797,999000.0,2.5316455696202667,0.0,999997.4683544304,0.000997470879673113
