Model,Threshold Selection,Prevalence,Projected Precision Mean,Projected Precision Std,Projected Precision 95% CI Half-Width,Projected Precision Count,Expected TP per 1M URLs Mean,Expected TP per 1M URLs Std,Expected TP per 1M URLs 95% CI Half-Width,Expected TP per 1M URLs Count,Expected FP per 1M URLs Mean,Expected FP per 1M URLs Std,Expected FP per 1M URLs 95% CI Half-Width,Expected FP per 1M URLs Count,Expected Alerts per 1M URLs Mean,Expected Alerts per 1M URLs Std,Expected Alerts per 1M URLs 95% CI Half-Width,Expected Alerts per 1M URLs Count
XGBoost — Full 16 Features,Default threshold,0.001,0.001201634855643799,5.847404344875456e-05,2.9591948871091544e-05,15,984.4154681972094,7.721290364262174,3.907512054957175,15,820026.5043153439,39731.33830518343,20106.831379591742,15,821010.9197835411,39731.85482227702,20107.092773306336,15
XGBoost — Full 16 Features,Default threshold,0.005,0.006003264033022937,0.00029072352319038663,0.0001471264021858361,15,4922.077340986048,38.606451821310785,19.537560274785832,15,816743.1149086761,39572.253867525054,20026.323546240033,15,821665.1922496619,39574.85146529371,20027.63811208539,15
XGBoost — Full 16 Features,Default threshold,0.01,0.01199427672512044,0.0005773444953096744,0.00029217662707356224,15,9844.154681972095,77.21290364262157,39.075120549571665,15,812638.8781503409,39373.398320452055,19925.688754550378,15,822483.0328323129,39378.63138340895,19928.337049799455,15
XGBoost — Full 16 Features,Default threshold,0.05,0.05948612946862238,0.0027254139340716103,0.0013792497496823155,15,49220.77340986047,386.06451821310753,195.37560274785818,15,779804.9840836604,37782.55394386814,19120.61042103319,15,829025.7574935207,37810.30467754423,19134.65422993787,15
XGBoost — Full 16 Features,Default threshold,0.1,0.1177826010061749,0.005061116146022761,0.0025612781567776353,15,98441.54681972094,772.1290364262151,390.75120549571636,15,738762.6165003099,35793.99847313822,18114.262504136703,15,837204.1633200308,35853.853424291745,18144.553288726776,15
XGBoost — Full 16 Features,Default threshold,0.5,0.5455434342078627,0.012062320691811746,0.006104376508384002,15,492207.7340986047,3860.645182131085,1953.7560274785867,15,410423.6758335055,19885.554707299012,10063.479168964835,15,902631.4099321101,20508.44322284176,10378.70425033765,15
XGBoost — Full 16 Features,Validation-selected threshold,0.001,0.004069627663712583,0.003848836679379193,0.0019477801005703616,15,799.702419169315,101.9339028380305,51.585672259133965,15,325832.2380221011,261788.36659307042,132483.19258198503,15,326631.9404412705,261884.40252307145,132531.79346816914,15
XGBoost — Full 16 Features,Validation-selected threshold,0.005,0.01984586902262446,0.0179642027825341,0.009091140938740605,15,3998.512095846575,509.66951419015254,257.92836129566984,15,324527.60443642706,260740.16492503008,131952.7293484235,15,328526.11653227365,261220.3893184642,132195.75642264335,15
XGBoost — Full 16 Features,Validation-selected threshold,0.01,0.0385579639811078,0.03314922227430803,0.016775821078928065,15,7997.02419169315,1019.3390283803051,515.8567225913397,15,322896.8124543345,259429.91283997966,131289.65030647162,15,330893.8366460277,260390.47412720797,131775.76138794867,15
XGBoost — Full 16 Features,Validation-selected threshold,0.05,0.1616471379682856,0.10096560999763789,0.05109564847190855,15,39985.120958465755,5096.695141901524,2579.283612956697,15,309850.47659759375,248947.89615957643,125985.0179708566,15,349835.5975560594,253755.3350357354,128417.91771634572,15
XGBoost — Full 16 Features,Validation-selected threshold,0.1,0.2776232354294633,0.13272799901877405,0.06716963509061911,15,79970.24191693151,10193.390283803048,5158.567225913394,15,293542.5567766677,235845.3753090724,119354.22755133784,15,373512.7986935992,245472.53830103754,124226.24423138094,15
XGBoost — Full 16 Features,Validation-selected threshold,0.5,0.7438359756496745,0.11503101354318122,0.058213724767346486,15,399851.2095846577,50966.95141901524,25792.836129566975,15,163079.1982092598,131025.20850504022,66307.90419518769,15,562930.4077939173,179855.69481040977,91019.53980091402,15
XGBoost — URL-Only Features,Default threshold,0.001,0.0010020880342908097,5.964338400707277e-06,3.0183716841523956e-06,15,997.6619583196405,2.2554275261087793,1.141403810967087,15,994617.3802387,6158.888556042302,3116.827647003373,15,995615.0421970197,6159.562529139438,3117.1687244499567,15
XGBoost — URL-Only Features,Default threshold,0.005,0.005010397620020731,2.9701251885917552e-05,1.5030907311647587e-05,15,4988.309791598203,11.277137630544,5.707019054835488,15,990634.9282657723,6134.228341603691,3104.347856624979,15,995623.2380573705,6137.605762729063,3106.0570675391473,15
XGBoost — URL-Only Features,Default threshold,0.01,0.010020688878558122,5.9101427335153634e-05,2.9909448924002004e-05,15,9976.619583196407,22.554275261088,11.414038109670976,15,985656.8632996125,6103.403073555454,3088.748118652001,15,995633.482882809,6110.176957608861,3092.176176962057,15
