,False Negative mean - True Positive mean,Absolute difference
URL_Depth,2.141801450083659,2.141801450083659
URL_Length,0.7730061349693251,0.7730061349693251
Prefix/Suffix,-0.21683863171593232,0.21683863171593232
Web_Traffic,0.06699665365309537,0.06699665365309537
TinyURL,-0.04952128648447667,0.04952128648447667
Web_Forwards,-0.04747629670942554,0.04747629670942554
iFrame,-0.04459472020821713,0.04459472020821713
Domain_Age,0.02530674846625769,0.02530674846625769
Redirection,0.02182097044060234,0.02182097044060234
Mouse_Over,-0.017707752370329066,0.017707752370329066
DNS_Record,-0.008691206543967281,0.008691206543967281
Have_At,-0.005972299683956128,0.005972299683956128
Have_IP,-0.004694181074549173,0.004694181074549173
Domain_End,0.0043456032719836335,0.0043456032719836335
Right_Click,0.002044989775051076,0.002044989775051076
https_Domain,0.0,0.0
