,False Positive mean - True Negative mean,Absolute difference
Web_Traffic,-0.5480769230769231,0.5480769230769231
Domain_Age,-0.5384615384615384,0.5384615384615384
Prefix/Suffix,0.36538461538461536,0.36538461538461536
Domain_End,0.1923076923076923,0.1923076923076923
DNS_Record,-0.17307692307692307,0.17307692307692307
Web_Forwards,-0.1346153846153846,0.1346153846153846
iFrame,-0.057692307692307696,0.057692307692307696
TinyURL,-0.057692307692307696,0.057692307692307696
Mouse_Over,-0.057692307692307696,0.057692307692307696
URL_Depth,-0.019230769230769162,0.019230769230769162
Redirection,-0.009615384615384616,0.009615384615384616
URL_Length,0.0,0.0
https_Domain,0.0,0.0
Have_IP,0.0,0.0
Have_At,0.0,0.0
Right_Click,0.0,0.0
